Name, Type, Subtype
Shirakawa Circuit, Road, Circuit
Daikoku Circuit, Road, Circuit
Tokyo Railway Sprint, Road, Sprint
Festival Sprint, Road, Sprint
Shimanoyama Circuit, Road, Circuit
Horizon Festival Drag Strip, Drag, Sprint
Narai-Juku Circuit, Road, Circuit
Shikisai Sprint, Road, Sprint
Tateyama Kurobe Sprint, Road, Sprint
Venus Sprint, Road, Sprint
Electric Town Circuit, Road, Circuit
Satta Sprint, Road, Sprint
Irokawa Space Center Drag Strip, Drag, Sprint
Highway Circuit, Road, Circuit
Ito Sprint, Road, Sprint
Hokubu Circuit, Road, Circuit
Ito Airfield Drag Strip, Drag, Sprint
Irokawa Circuit, Road, Circuit
Shimanoyama Sprint, Road, Sprint
Coastline Sprint, Road, Sprint
Soni Circuit, Road, Circuit
Seaside Park Sprint, Road, Sprint
Legend Island Circuit, Road, Circuit
The Goliath, Road, Circuit
The Colossus, Road, Circuit
Airfield Trail, Dirt, Sprint
Kinkaku-ji Trail, Dirt, Sprint
Taiyaki Scramble, Dirt, Circuit
Sekibe Scramble, Dirt, Circuit
Chiheisen Scramble, Dirt, Circuit
Kawazu Nanadaru Scramble, Dirt, Circuit
Horizon Stadium Scramble, Dirt, Circuit
Sotoyama Scramble, Dirt, Circuit
Waterfall Trail, Dirt, Sprint
Hirosaki Scramble, Dirt, Circuit
Takashiro Trail, Dirt, Sprint
Hokubu Trail, Dirt, Sprint
Sunflower Scramble, Dirt, Circuit
Bamboo Forest Scramble, Dirt, Circuit
Ine Scramble, Dirt, Circuit
Oyashirazu Trail, Dirt, Sprint
Nukabira Trail, Dirt, Sprint
Ito Trail, Dirt, Sprint
Cherry Field Trail, Dirt, Sprint
Legend Island Trail, Dirt, Sprint
The Gauntlet, Dirt, Sprint
Wind Farm Cross-Country, Cross Country, Sprint
Temple Cross-Country, Cross Country, Sprint
City Docks Cross-Country Circuit, Cross Country, Circuit
Stadum Cross-Country Circuit, Cross Country, Circuit
Shinjuku Gyoen Cross-Country, Cross Country, Sprint
Shimanoyama Cross-Country, Cross Country, Sprint
Oka Cross-Country Circuit, Cross Country, Circuit
Snow Forest Cross-Country Circuit, Cross Country, Circuit
Takashiro Cross-Country, Cross Country, Sprint
Soni Highlands Cross-Country, Cross Country, Sprint
Naruo Cross-Country Circuit, Cross Country, Circuit
Izu Cross Country, Cross Country, Sprint
Yahikoyama Cross-Country, Cross Country, Sprint
Nangan Cross-Country Circuit, Cross Country, Circuit
Ruriko-ji Cross-Country, Cross Country, Sprint
Tateyama Alpines Cross-Country, Cross Country, Sprint
Edogawa Cross-Country Circuit, Cross Country, Circuit
Legend Island Cross-Country Cirucit, Cross Country, Circuit
The Titan, Cross Country, Sprint
Hakone Nanamagari, Touge, Sprint
Mt. Haruna, Touge, Sprint
Bandai Azuma, Touge, Sprint
Norikura Skyline, Touge, Sprint
Arashiyama Takao, Touge, Sprint
Daikoku Chase, Street, Sprint
Norikura Descent, Street, Sprint
Nachi Run, Street, Sprint
Hokubu Ascent, Street, Sprint
Okishinaimura Run, Street, Sprint
Sunflower Charge, Street, Sprint
Kita Ine, Street, Sprint
Rainbow Brdige Descent, Street, Sprint
Shimanoyama Charge, Street, Sprint
Festival Nishi, Street, Sprint
Matsumi Climb, Street, Sprint
Minami Chase, Street, Sprint
River Descent, Street, Sprint
Cedar Run, Street, Sprint
Tokyo City Docks Charge, Street, Sprint
